brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
nio,el7 standard range,200,73.5,lithium-ion,118,850.0,198,355,3.9,110.0,ccs,2000.0,570.0,5,awd,jf - luxury,4912,1987,1720,suv,https://ev-database.org/car/1788/NIO-EL7-Standard-Range
nio,el8 long range,200,90.0,lithium-ion,96,850.0,185,440,4.1,190.0,ccs,2000.0,265.0,6,awd,jf - luxury,5099,1989,1750,suv,https://ev-database.org/car/2223/NIO-EL8-Long-Range
nio,el8 standard range,200,73.5,lithium-ion,118,850.0,196,360,4.1,110.0,ccs,2000.0,265.0,6,awd,jf - luxury,5099,1989,1750,suv,https://ev-database.org/car/2222/NIO-EL8-Standard-Range
nio,et5 long range,200,90.0,lithium-ion,96,700.0,167,500,4.0,100.0,ccs,1400.0,386.0,5,awd,e - executive,4790,1960,1499,sedan,https://ev-database.org/car/1787/NIO-ET5-Long-Range
nio,et5 standard range,200,73.5,lithium-ion,118,700.0,175,410,4.0,110.0,ccs,1400.0,386.0,5,awd,e - executive,4790,1960,1499,sedan,https://ev-database.org/car/1786/NIO-ET5-Standard-Range
nio,et5 touring long range,200,90.0,lithium-ion,96,700.0,178,485,4.0,135.0,ccs,1400.0,450.0,5,awd,e - executive,4790,1960,1499,station/estate,https://ev-database.org/car/1916/NIO-ET5-Touring-Long-Range
nio,et5 touring standard range,200,73.5,lithium-ion,118,700.0,169,400,4.0,110.0,ccs,1400.0,450.0,5,awd,e - executive,4790,1960,1499,station/estate,https://ev-database.org/car/1915/NIO-ET5-Touring-Standard-Range
nio,et7 long range,200,90.0,lithium-ion,96,850.0,178,505,3.8,100.0,ccs,2000.0,363.0,5,awd,f - luxury,5101,1987,1509,sedan,https://ev-database.org/car/1752/NIO-ET7-Long-Range
nio,et7 standard range,200,73.5,lithium-ion,118,850.0,191,415,3.8,110.0,ccs,2000.0,363.0,5,awd,f - luxury,5101,1987,1509,sedan,https://ev-database.org/car/1751/NIO-ET7-Standard-Range
nissan,ariya 63kwh,160,63.0,lithium-ion,487,300.0,175,335,7.5,90.0,ccs,750.0,468.0,5,fwd,jc - medium,4595,1850,1660,suv,https://ev-database.org/car/1301/Nissan-Ariya-63kWh
nissan,ariya 87kwh,160,87.0,lithium-ion,487,300.0,169,450,7.6,110.0,ccs,750.0,468.0,5,fwd,jc - medium,4595,1850,1660,suv,https://ev-database.org/car/1302/Nissan-Ariya-87kWh
nissan,ariya e-4orce 87kwh - 225 kw,200,87.0,lithium-ion,487,600.0,190,405,5.7,110.0,ccs,1500.0,415.0,5,awd,jc - medium,4595,1850,1660,suv,https://ev-database.org/car/1304/Nissan-Ariya-e-4ORCE-87kWh---225-kW
nissan,ariya e-4orce 87kwh - 320 kw nismo,200,87.0,lithium-ion,487,600.0,209,385,5.0,110.0,ccs,1054.5942350332593,415.0,5,awd,jc - medium,4655,1850,1660,suv,https://ev-database.org/car/3074/Nissan-Ariya-e-4ORCE-87kWh---320-kW-Nismo
nissan,townstar ev passenger,132,45.0,lithium-ion,487,245.0,158,225,12.6,50.0,ccs,1500.0,819.0,5,fwd,n - passenger van,4488,1860,1838,small passenger van,https://ev-database.org/car/2042/Nissan-Townstar-EV-Passenger
nissan,townstar ev passenger l2,130,45.0,lithium-ion,487,245.0,173,220,13.3,50.0,ccs,1500.0,819.0,7,fwd,n - passenger van,4911,1860,1815,small passenger van,https://ev-database.org/car/3084/Nissan-Townstar-EV-Passenger-L2
omoda,e5,172,61.0,lithium-ion,487,340.0,152,345,7.6,60.0,ccs,1054.5942350332593,380.0,5,fwd,jc - medium,4424,1830,1588,suv,https://ev-database.org/car/3046/Omoda-E5
opel,astra electric,170,50.8,lithium-ion,102,270.0,128,320,9.2,85.0,ccs,0.0,352.0,5,fwd,c - medium,4374,1860,1470,hatchback,https://ev-database.org/car/1792/Opel-Astra-Electric
opel,astra sports tourer electric,170,50.8,lithium-ion,102,270.0,123,310,9.3,85.0,ccs,0.0,516.0,5,fwd,c - medium,4642,1860,1480,station/estate,https://ev-database.org/car/1793/Opel-Astra-Sports-Tourer-Electric
opel,combo-e life 50 kwh,135,50.0,lithium-ion,487,260.0,149,235,11.3,80.0,ccs,750.0,775.0,5,fwd,n - passenger van,4410,1921,1812,small passenger van,https://ev-database.org/car/2161/Opel-Combo-e-Life-50-kWh
opel,combo-e life xl 50 kwh,135,50.0,lithium-ion,487,260.0,149,230,11.3,80.0,ccs,750.0,1050.0,7,fwd,n - passenger van,4760,1921,1818,small passenger van,https://ev-database.org/car/2162/Opel-Combo-e-Life-XL-50-kWh
opel,corsa electric 50 kwh,150,46.3,lithium-ion,216,260.0,131,290,8.7,78.0,ccs,0.0,267.0,5,fwd,b - compact,4061,1765,1435,hatchback,https://ev-database.org/car/1941/Opel-Corsa-Electric-50-kWh
opel,corsa electric 51 kwh,150,48.1,lithium-ion,96,260.0,120,315,8.1,80.0,ccs,0.0,267.0,5,fwd,b - compact,4061,1765,1435,hatchback,https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh
opel,frontera 44 kwh,140,44.0,lithium-ion,487,120.0,144,245,12.1,60.0,ccs,350.0,460.0,5,fwd,jb - compact,4385,1795,1635,suv,https://ev-database.org/car/2238/Opel-Frontera-44-kWh
opel,grandland 73 kwh,170,73.0,lithium-ion,96,260.0,145,365,9.0,90.0,ccs,1200.0,550.0,5,fwd,jc - medium,4650,1934,1665,suv,https://ev-database.org/car/3037/Opel-Grandland-73-kWh
